0.21, 0, 0, 5, 0.2925041, 0, 929.7949, -342.564, -2.810867, 0.01343784, 0.1308036, 38.13348, 1.258549, 1.004543, 2.01187
 
0.22, -1, 0, 5, 0.2925068, 2.1215592573407299791685867888, 1035.308, -342.7131, -2.810867, 0.01343784, 0.1308036, 40.23964, 1.21989, 1.004363, 2.013149
 
0.23, -1, -0.01, 5, 0.292522, 2.0024724429110963902172094193, 1146.595, -342.8622, -2.810867, 0.01343784, 0.1308036, 42.34782, 1.221826, 1.004183, 2.014429
 
0.24, -1, -0.02, 5, 0.2925117, 1.8933443684043873351632108232, 1263.655, -343.0115, -2.810867, 0.01343784, 0.1308036, 44.45774, 1.223624, 1.004002, 2.015708
 
0.25, -1, -0.03, 5, 0.2925265, 1.7926450639075655052932361528, 1386.484, -343.1608, -2.810867, 0.01343784, 0.1308036, 46.56912, 1.225302, 1.003822, 2.016987
 
0.26, -1, -0.04, 5, 0.2925158, 1.6991188685907556021809845937, 1515.08, -343.3102, -2.810867, 0.01343784, 0.1308036, 48.68175, 1.226878, 1.003641, 2.018266
 
0.27, -1, -0.05, 5, 0.2921844, 1.6117286887545162286449203094, 1649.062, -343.4598, -2.810867, 0.01343784, 0.1308036, 50.78963, 1.228366, 1.003461, 2.019545
 
0.28, -1, -0.05999999, 5, 0.2913396, 1.5297865513507030915052125967, 1788.335, -343.6094, -2.810867, 0.01343784, 0.1308036, 52.89194, 1.229775, 1.003281, 2.020824
 
0.29, -1, -0.06999999, 5, 0.2904934, 1.4525400867068360031884389232, 1932.839, -343.7592, -2.810867, 0.01343784, 0.1308036, 54.98849, 1.231114, 1.0031, 2.022103
 
0.3, -1, -0.07999999, 5, 0.2896458, 1.3793415146564760897177014331, 2082.515, -343.9091, -2.810867, 0.01343784, 0.1308036, 57.07913, 1.232394, 1.00292, 2.023382
 
0.31, -1, -0.08999999, 5, 0.2887972, 1.3096379630421656794115019923, 2237.309, -344.0591, -2.810867, 0.01343784, 0.1308036, 59.16376, 1.233623, 1.00274, 2.024662
 
0.32, -1, -0.09999999, 5, 0.2879469, 1.2429581189846580825480172061, 2397.158, -344.2091, -2.810867, 0.01343784, 0.1308036, 61.24225, 1.234807, 1.002559, 2.025941
 
0.33, -1, -0.11, 5, 0.2870956, 1.1789016672497559055051238359, 2562.005, -344.3593, -2.810867, 0.01343784, 0.1308036, 63.31449, 1.235953, 1.002379, 2.02722
 
0.3399999, -1, -0.12, 5, 0.2862428, 1.1171240345559854630225091628, 2731.792, -344.5096, -2.810867, 0.01343784, 0.1308036, 65.38042, 1.237066, 1.002199, 2.028499
 
0.3499999, -1, -0.13, 5, 0.285376, 1.0573252411840643584346487820, 2906.459, -344.66, -2.810867, 0.01343784, 0.1308036, 67.43991, 1.238151, 1.002018, 2.029778
 
0.3599999, -1, -0.14, 5, 0.2845334, 0.9992484340833939697610810720, 3085.945, -344.8105, -2.810867, 0.01343784, 0.1308036, 69.49289, 1.239211, 1.001838, 2.031057
 
0.3699999, -1, -0.15, 5, 0.2836639, 0.9426704987537111094416772604, 3270.192, -344.9612, -2.810867, 0.01343784, 0.1308036, 71.53929, 1.240251, 1.001657, 2.032336
 
0.3799999, -1, -0.16, 5, 0.2830768, 0.8873935512628353910567897374, 3459.619, -345.1118, -2.810867, 0.01343784, 0.1308036, 73.58414, 1.241273, 1.001477, 2.033615
 
0.3899999, -1, -0.17, 5, 0.2830313, 0.8331861158175914769029606823, 3654.327, -345.2627, -2.810867, 0.01343784, 0.1308036, 75.62864, 1.242281, 1.001297, 2.034894
 
0.3999999, -1, -0.18, 5, 0.2830114, 0.7798978358349642239569822002, 3854.31, -345.4136, -2.810867, 0.01343784, 0.1308036, 77.67275, 1.243278, 1.001116, 2.036174
 
0.4099999, -1, -0.19, 5, 0.2829654, 0.7274101863207317582552501954, 4059.557, -345.5646, -2.810867, 0.01343784, 0.1308036, 79.71643, 1.244265, 1.000936, 2.037452
 
0.4199999, -1, -0.2, 5, 0.2829452, 0.6756182843901556640997734199, 4270.059, -345.7158, -2.810867, 0.01343784, 0.1308036, 81.75964, 1.245246, 1.000756, 2.038732
 
0.4299999, -1, -0.21, 5, 0.2829245, 0.6244300091318867439667880703, 4485.805, -345.867, -2.810867, 0.01343784, 0.1308036, 83.80231, 1.24622, 1.000575, 2.040011
 
0.4399998, -1, -0.22, 5.081029, 0.2828909, 0.5737633611996690961911659727, 4706.781, -346.0184, -2.810867, 0.01343784, 0.1308036, 85.84441, 1.247189, 1.000395, 2.04129
 
0.4499998, -1, -0.23, 5.19692, 0.2828568, 0.5235485164632535682270160154, 4932.978, -346.1698, -2.810867, 0.01343784, 0.1308036, 87.88589, 1.248156, 1.000215, 2.042569
 
0.4599998, -1, -0.24, 5.312865, 0.2828357, 0.4737188779580547299641008338, 5164.378, -346.3214, -2.810867, 0.01343784, 0.1308036, 89.92667, 1.24912, 1.000034, 2.043848
 
0.4699998, -1, -0.25, 5.42883, 0.2828012, 0.4242182636633010195481707839, 5400.971, -346.4731, -2.810867, 0.01343784, 0.1308036, 91.96671, 1.250082, 0.9998538, 2.045127
 
0.4799998, -1, -0.26, 5.54483, 0.2827666, 0.3749962124428415036331919901, 5642.743, -346.6248, -2.810867, 0.01343784, 0.1308036, 94.00597, 1.251045, 0.9996734, 2.046406
 
0.4899998, -1, -0.27, 5.66087, 0.2827447, 0.3260076906664429077059083946, 5889.676, -346.7767, -2.810867, 0.01343784, 0.1308036, 96.04437, 1.252008, 0.9994931, 2.047685
 
0.4999998, -1, -0.28, 5.776925, 0.2827097, 0.2772138256565419061472116769, 6141.759, -346.9287, -2.810867, 0.01343784, 0.1308036, 98.0819, 1.252973, 0.9993127, 2.048965
 
0.5099998, -1, -0.29, 5.892999, 0.2826743, 0.2285798520373624737348895669, 6398.969, -347.0807, -2.810867, 0.01343784, 0.1308036, 100.1185, 1.253939, 0.9991324, 2.050244
 
0.5199998, -1, -0.3, 6.009104, 0.2826518, 0.1800773120751419510643858598, 6661.291, -347.233, -2.810867, 0.01343784, 0.1308036, 102.154, 1.254908, 0.998952, 2.051523
 
0.5299998, -0.6105497, -0.31, 6.125209, 0.282616, 0.1316771319408521507352224225, 6928.708, -347.3853, -2.810867, 0.01343784, 0.1308036, 104.1885, 1.255879, 0.9987717, 2.052802
 
0.5399998, -0.05713235, -0.3161055, 6.241339, 0.282593, 0.0836404333451544067110275352, 7201.202, -347.5377, -2.810867, 0.01343784, 0.1308036, 106.2218, 1.256849, 0.9985913, 2.054081
 
0.5499998, 0.5149294, -0.3166768, 6.357461, 0.2825569, 0.0366303694982940751980653010, 7478.751, -347.6902, -2.810867, 0.01343784, 0.1308036, 108.2539, 1.257802, 0.9984109, 2.05536
 
